frame,ball_x,ball_y
frame_000,1910.0,12.0
frame_001,1910.0,12.0
frame_002,1910.0,12.0
frame_003,1910.0,12.0
frame_004,1910.0,12.0
frame_005,1910.0,12.0
frame_006,1910.0,12.0
frame_007,822.0,169.0
frame_008,820.0,154.0
frame_009,814.0,150.0
frame_010,818.0,142.0
frame_011,817.0,132.0
frame_012,814.0,121.0
frame_013,816.0,116.0
frame_014,813.0,109.0
frame_015,813.0,102.0
frame_016,813.0,97.0
frame_017,809.0,93.0
frame_018,810.0,85.0
frame_019,810.0,85.0
frame_020,810.0,82.0
frame_021,806.0,78.0
frame_022,808.0,74.0
frame_023,806.0,73.0
frame_024,808.0,76.0
frame_025,808.0,69.0
frame_026,808.0,73.0
frame_027,806.0,73.0
frame_028,805.0,73.0
frame_029,806.0,73.0
frame_030,806.0,78.0
frame_031,804.0,84.0
frame_032,804.0,84.0
frame_033,804.0,88.0
frame_034,802.0,93.0
frame_035,802.0,100.0
frame_036,801.0,104.0
frame_037,798.0,112.0
frame_038,798.0,118.0
frame_039,798.0,126.0
frame_040,797.0,133.0
frame_041,800.0,146.0
frame_042,798.0,152.0
frame_043,796.0,165.0
frame_044,801.0,172.0
frame_045,796.0,181.0
frame_046,800.0,197.0
frame_047,797.0,209.0
frame_048,796.0,221.0
frame_049,1904.0,12.0
frame_050,1904.0,12.0
frame_051,1904.0,12.0
frame_052,1904.0,12.0
frame_053,924.0,297.0
frame_054,949.0,312.0
frame_055,969.0,318.0
frame_056,988.0,329.0
frame_057,1008.0,341.0
frame_058,1021.0,353.0
frame_059,1038.0,360.0
frame_060,1048.0,369.0
frame_061,1062.0,370.0
frame_062,1072.0,385.0
frame_063,1082.0,393.0
frame_064,1092.0,402.0
frame_065,1101.0,410.0
frame_066,1908.0,10.0
frame_067,1909.0,10.0
frame_068,1909.0,10.0
frame_069,1909.0,10.0
frame_070,1909.0,10.0
frame_071,1909.0,10.0
frame_072,1909.0,10.0
frame_073,1909.0,10.0
frame_074,1909.0,10.0
frame_075,1909.0,10.0
frame_076,1909.0,10.0
frame_077,1909.0,10.0
frame_078,1909.0,10.0
frame_079,1909.0,10.0
frame_080,1909.0,10.0
frame_081,1909.0,10.0
frame_082,1909.0,10.0
frame_083,1909.0,10.0
frame_084,1909.0,10.0
frame_085,1909.0,10.0
frame_086,1909.0,10.0
