frame,BL_x,BL_y,BR_x,BR_y,TR_x,TR_y,TL_x,TL_y
frame_000,638.0,445.0,98.0,845.0,1840.0,862.0,1309.0,452.0
frame_050,638.0,445.0,98.0,845.0,1840.0,862.0,1309.0,452.0
frame_100,638.0,445.0,100.0,848.0,1840.0,862.0,1309.0,452.0
frame_150,641.0,444.0,100.0,849.0,1844.0,862.0,1309.0,452.0
frame_200,641.0,444.0,100.0,849.0,1844.0,862.0,1306.0,448.0
frame_250,641.0,444.0,100.0,849.0,1844.0,862.0,1308.0,450.0
frame_300,641.0,444.0,100.0,846.0,1844.0,864.0,1308.0,450.0
frame_350,641.0,444.0,98.0,846.0,1844.0,864.0,1308.0,450.0
frame_400,640.0,445.0,98.0,846.0,1844.0,864.0,1308.0,450.0
frame_450,640.0,445.0,98.0,846.0,1844.0,864.0,1308.0,450.0
frame_500,640.0,445.0,98.0,846.0,1844.0,864.0,1308.0,450.0
frame_550,640.0,445.0,98.0,846.0,1844.0,864.0,1308.0,450.0
frame_600,640.0,445.0,98.0,846.0,1844.0,864.0,1308.0,450.0
