frame,ball_x,ball_y
frame_000,1909.0,8.0
frame_001,1910.0,8.0
frame_002,1910.0,8.0
frame_003,1910.0,8.0
frame_004,1910.0,8.0
frame_005,1910.0,8.0
frame_006,1910.0,8.0
frame_007,1910.0,8.0
frame_008,1910.0,8.0
frame_009,1910.0,8.0
frame_010,1910.0,8.0
frame_011,1910.0,8.0
frame_012,1910.0,8.0
frame_013,1910.0,8.0
frame_014,1910.0,8.0
frame_015,1910.0,8.0
frame_016,1910.0,8.0
frame_017,1910.0,8.0
frame_018,1910.0,8.0
frame_019,1910.0,8.0
frame_020,1910.0,8.0
frame_021,1910.0,8.0
frame_022,1910.0,8.0
frame_023,1910.0,8.0
frame_024,1910.0,8.0
frame_025,1910.0,8.0
frame_026,1910.0,8.0
frame_027,1910.0,8.0
frame_028,1910.0,8.0
frame_029,1910.0,8.0
frame_030,1910.0,8.0
frame_031,1910.0,8.0
frame_032,1910.0,8.0
frame_033,1910.0,8.0
frame_034,1910.0,8.0
frame_035,1910.0,8.0
frame_036,1910.0,8.0
frame_037,1910.0,8.0
frame_038,1910.0,8.0
frame_039,1910.0,8.0
frame_040,1910.0,8.0
frame_041,1910.0,8.0
frame_042,1910.0,8.0
frame_043,1910.0,8.0
frame_044,1910.0,8.0
frame_045,1910.0,8.0
frame_046,1910.0,8.0
frame_047,1910.0,8.0
frame_048,1910.0,8.0
frame_049,1910.0,8.0
frame_050,1910.0,8.0
frame_051,1910.0,8.0
frame_052,1910.0,8.0
frame_053,1910.0,8.0
frame_054,1910.0,8.0
frame_055,1910.0,8.0
frame_056,1910.0,8.0
frame_057,1910.0,8.0
frame_058,1910.0,8.0
frame_059,1910.0,8.0
frame_060,1910.0,8.0
frame_061,1910.0,8.0
frame_062,1910.0,8.0
frame_063,1910.0,8.0
frame_064,1910.0,8.0
frame_065,1910.0,8.0
frame_066,1910.0,8.0
frame_067,1910.0,8.0
frame_068,1910.0,8.0
frame_069,1910.0,8.0
frame_070,1910.0,8.0
frame_071,1910.0,8.0
frame_072,1910.0,8.0
frame_073,1910.0,8.0
frame_074,1910.0,8.0
frame_075,1910.0,8.0
frame_076,1910.0,8.0
frame_077,1910.0,8.0
frame_078,1910.0,8.0
frame_079,1910.0,8.0
frame_080,1910.0,8.0
frame_081,897.0,437.0
frame_082,898.0,445.0
frame_083,898.0,458.0
frame_084,898.0,465.0
frame_085,896.0,481.0
frame_086,900.0,486.0
frame_087,901.0,502.0
frame_088,898.0,510.0
frame_089,898.0,526.0
frame_090,897.0,540.0
frame_091,898.0,553.0
frame_092,898.0,565.0
frame_093,898.0,584.0
frame_094,897.0,580.0
frame_095,901.0,577.0
frame_096,901.0,566.0
frame_097,902.0,556.0
frame_098,905.0,558.0
frame_099,904.0,553.0
frame_100,906.0,545.0
frame_101,906.0,541.0
frame_102,908.0,536.0
frame_103,909.0,528.0
frame_104,909.0,524.0
frame_105,912.0,521.0
frame_106,914.0,522.0
frame_107,917.0,510.0
frame_108,917.0,510.0
frame_109,916.0,509.0
frame_110,918.0,505.0
frame_111,918.0,500.0
frame_112,921.0,496.0
frame_113,922.0,494.0
frame_114,926.0,496.0
frame_115,925.0,493.0
frame_116,926.0,488.0
frame_117,930.0,482.0
frame_118,929.0,492.0
frame_119,930.0,484.0
frame_120,934.0,486.0
frame_121,934.0,480.0
frame_122,937.0,488.0
frame_123,938.0,486.0
frame_124,940.0,488.0
frame_125,945.0,486.0
frame_126,944.0,489.0
frame_127,948.0,492.0
frame_128,949.0,494.0
frame_129,953.0,493.0
frame_130,953.0,498.0
frame_131,957.0,505.0
frame_132,957.0,505.0
frame_133,957.0,505.0
frame_134,964.0,516.0
frame_135,968.0,526.0
frame_136,968.0,532.0
frame_137,969.0,533.0
frame_138,976.0,524.0
frame_139,982.0,505.0
frame_140,982.0,486.0
frame_141,989.0,469.0
frame_142,994.0,452.0
frame_143,996.0,440.0
frame_144,1000.0,428.0
frame_145,1005.0,422.0
frame_146,1004.0,413.0
frame_147,1008.0,402.0
frame_148,1009.0,400.0
frame_149,1908.0,8.0
frame_150,1908.0,8.0
frame_151,1908.0,8.0
frame_152,1908.0,8.0
frame_153,1908.0,8.0
frame_154,1908.0,8.0
frame_155,1908.0,8.0
frame_156,1908.0,8.0
frame_157,1908.0,8.0
frame_158,1908.0,8.0
frame_159,1908.0,8.0
frame_160,1908.0,8.0
frame_161,1908.0,8.0
frame_162,1908.0,8.0
frame_163,1908.0,8.0
frame_164,1908.0,8.0
frame_165,1908.0,8.0
frame_166,1908.0,8.0
frame_167,1908.0,8.0
frame_168,1908.0,8.0
frame_169,1908.0,8.0
frame_170,1908.0,8.0
frame_171,1908.0,8.0
frame_172,1908.0,8.0
frame_173,1908.0,8.0
frame_174,1908.0,8.0
frame_175,1908.0,8.0
frame_176,1908.0,8.0
frame_177,1908.0,8.0
frame_178,1908.0,8.0
frame_179,1908.0,8.0
frame_180,1908.0,8.0
frame_181,1908.0,8.0
frame_182,1908.0,8.0
frame_183,1908.0,8.0
frame_184,1908.0,8.0
frame_185,1908.0,8.0
frame_186,1908.0,8.0
frame_187,1908.0,8.0
frame_188,1908.0,8.0
frame_189,1908.0,8.0
frame_190,1908.0,8.0
frame_191,1908.0,8.0
frame_192,1908.0,8.0
frame_193,1908.0,8.0
frame_194,1908.0,8.0
frame_195,1908.0,8.0
frame_196,1908.0,8.0
frame_197,1908.0,8.0
frame_198,1908.0,8.0
frame_199,1908.0,8.0
frame_200,1908.0,8.0
frame_201,1908.0,8.0
frame_202,1908.0,8.0
frame_203,1908.0,8.0
frame_204,1908.0,8.0
frame_205,1908.0,8.0
frame_206,1908.0,8.0
frame_207,1908.0,8.0
frame_208,1908.0,8.0
frame_209,1908.0,8.0
frame_210,1908.0,8.0
frame_211,1908.0,8.0
frame_212,1908.0,8.0
frame_213,1908.0,8.0
frame_214,1908.0,8.0
frame_215,1908.0,8.0
