frame,player_r_x,player_r_y,player_l_x,player_l_y
frame_000,857.0,576.0,806.0,694.0
frame_001,845.0,570.0,806.0,694.0
frame_002,845.0,577.0,806.0,694.0
frame_003,837.0,576.0,806.0,694.0
frame_004,837.0,576.0,806.0,694.0
frame_005,826.0,584.0,806.0,694.0
frame_006,832.0,596.0,806.0,694.0
frame_007,832.0,596.0,806.0,694.0
frame_008,821.0,605.0,806.0,694.0
frame_009,837.0,613.0,808.0,692.0
frame_010,833.0,614.0,808.0,690.0
frame_011,833.0,634.0,808.0,690.0
frame_012,837.0,653.0,808.0,690.0
frame_013,837.0,653.0,804.0,682.0
frame_014,834.0,653.0,804.0,682.0
frame_015,834.0,653.0,800.0,678.0
frame_016,829.0,665.0,800.0,678.0
frame_017,825.0,661.0,800.0,678.0
frame_018,825.0,661.0,800.0,678.0
frame_019,822.0,660.0,793.0,676.0
frame_020,821.0,660.0,797.0,676.0
frame_021,817.0,662.0,797.0,676.0
frame_022,817.0,662.0,798.0,672.0
frame_023,813.0,661.0,790.0,664.0
frame_024,813.0,661.0,790.0,664.0
frame_025,813.0,661.0,790.0,664.0
frame_026,813.0,661.0,782.0,664.0
frame_027,813.0,661.0,781.0,664.0
frame_028,813.0,661.0,780.0,662.0
frame_029,813.0,661.0,780.0,662.0
frame_030,813.0,661.0,770.0,658.0
frame_031,813.0,661.0,769.0,658.0
frame_032,814.0,660.0,768.0,658.0
frame_033,814.0,660.0,768.0,658.0
frame_034,816.0,660.0,768.0,658.0
frame_035,817.0,660.0,756.0,656.0
frame_036,822.0,660.0,754.0,656.0
frame_037,830.0,649.0,754.0,656.0
frame_038,830.0,650.0,754.0,656.0
frame_039,834.0,658.0,754.0,656.0
frame_040,838.0,660.0,737.0,653.0
frame_041,846.0,660.0,742.0,653.0
frame_042,852.0,660.0,748.0,652.0
frame_043,853.0,660.0,748.0,652.0
frame_044,861.0,666.0,748.0,652.0
frame_045,861.0,666.0,748.0,652.0
frame_046,866.0,666.0,748.0,652.0
frame_047,866.0,666.0,748.0,652.0
frame_048,868.0,666.0,748.0,654.0
frame_049,868.0,670.0,748.0,654.0
frame_050,868.0,670.0,748.0,654.0
frame_051,868.0,672.0,746.0,656.0
frame_052,868.0,672.0,746.0,656.0
frame_053,866.0,672.0,768.0,652.0
frame_054,866.0,672.0,765.0,649.0
frame_055,861.0,668.0,765.0,649.0
frame_056,861.0,668.0,769.0,652.0
frame_057,861.0,668.0,769.0,652.0
frame_058,861.0,668.0,769.0,652.0
frame_059,861.0,668.0,769.0,652.0
frame_060,856.0,666.0,769.0,652.0
frame_061,856.0,666.0,769.0,652.0
frame_062,846.0,669.0,769.0,652.0
frame_063,834.0,670.0,769.0,652.0
frame_064,821.0,670.0,769.0,652.0
frame_065,805.0,674.0,769.0,652.0
frame_066,782.0,674.0,769.0,652.0
frame_067,774.0,672.0,769.0,652.0
frame_068,766.0,670.0,769.0,652.0
frame_069,745.0,669.0,769.0,652.0
frame_070,738.0,664.0,769.0,652.0
frame_071,734.0,662.0,777.0,660.0
frame_072,718.0,662.0,777.0,660.0
frame_073,718.0,664.0,777.0,660.0
frame_074,712.0,674.0,773.0,656.0
frame_075,712.0,674.0,766.0,652.0
frame_076,712.0,674.0,765.0,650.0
frame_077,712.0,674.0,749.0,656.0
frame_078,712.0,674.0,748.0,656.0
frame_079,712.0,674.0,737.0,661.0
frame_080,712.0,674.0,702.0,668.0
frame_081,712.0,674.0,690.0,666.0
frame_082,712.0,674.0,673.0,665.0
frame_083,712.0,674.0,670.0,666.0
frame_084,712.0,674.0,665.0,666.0
frame_085,712.0,674.0,652.0,666.0
frame_086,712.0,674.0,632.0,666.0
frame_087,712.0,674.0,612.0,672.0
