frame,ball_x,ball_y
frame_000,1912.0,18.0
frame_001,1906.0,14.0
frame_002,1906.0,14.0
frame_003,1906.0,14.0
frame_004,1906.0,14.0
frame_005,1906.0,14.0
frame_006,1906.0,14.0
frame_007,1906.0,14.0
frame_008,1906.0,14.0
frame_009,1906.0,14.0
frame_010,1906.0,14.0
frame_011,1906.0,14.0
frame_012,1906.0,14.0
frame_013,1906.0,14.0
frame_014,1906.0,14.0
frame_015,1906.0,14.0
frame_016,1906.0,14.0
frame_017,1906.0,14.0
frame_018,1906.0,14.0
frame_019,1906.0,14.0
frame_020,1906.0,14.0
frame_021,1906.0,14.0
frame_022,1906.0,14.0
frame_023,1906.0,14.0
frame_024,1906.0,14.0
frame_025,1906.0,14.0
frame_026,1906.0,14.0
frame_027,1906.0,14.0
frame_028,1906.0,14.0
frame_029,1906.0,14.0
frame_030,1906.0,14.0
frame_031,1906.0,14.0
frame_032,1906.0,14.0
frame_033,1906.0,14.0
frame_034,1906.0,14.0
frame_035,1906.0,14.0
frame_036,1906.0,14.0
frame_037,1025.0,300.0
frame_038,1030.0,306.0
frame_039,1025.0,308.0
frame_040,1025.0,312.0
frame_041,1024.0,316.0
frame_042,1021.0,324.0
frame_043,1017.0,332.0
frame_044,1014.0,337.0
frame_045,1016.0,342.0
frame_046,1013.0,356.0
frame_047,1006.0,358.0
frame_048,1006.0,370.0
frame_049,1005.0,374.0
frame_050,1001.0,386.0
frame_051,997.0,396.0
frame_052,994.0,410.0
frame_053,993.0,417.0
frame_054,989.0,430.0
frame_055,986.0,449.0
frame_056,986.0,458.0
frame_057,980.0,469.0
frame_058,976.0,485.0
frame_059,970.0,505.0
frame_060,965.0,516.0
frame_061,965.0,537.0
frame_062,960.0,556.0
frame_063,958.0,581.0
frame_064,954.0,596.0
frame_065,946.0,620.0
frame_066,944.0,640.0
frame_067,940.0,633.0
frame_068,938.0,624.0
frame_069,936.0,616.0
frame_070,934.0,606.0
frame_071,932.0,598.0
frame_072,930.0,582.0
frame_073,926.0,573.0
frame_074,921.0,561.0
frame_075,922.0,558.0
frame_076,920.0,550.0
frame_077,914.0,536.0
frame_078,914.0,532.0
frame_079,909.0,525.0
frame_080,906.0,518.0
frame_081,904.0,510.0
frame_082,904.0,504.0
frame_083,900.0,504.0
frame_084,893.0,497.0
frame_085,892.0,488.0
frame_086,884.0,482.0
frame_087,882.0,480.0
frame_088,876.0,474.0
frame_089,877.0,477.0
frame_090,866.0,466.0
frame_091,868.0,465.0
frame_092,861.0,464.0
frame_093,857.0,458.0
frame_094,850.0,460.0
frame_095,852.0,464.0
frame_096,844.0,462.0
frame_097,838.0,466.0
frame_098,834.0,470.0
frame_099,828.0,469.0
frame_100,821.0,468.0
frame_101,814.0,476.0
frame_102,810.0,482.0
frame_103,801.0,484.0
frame_104,792.0,489.0
frame_105,790.0,502.0
frame_106,784.0,514.0
frame_107,774.0,524.0
frame_108,769.0,530.0
frame_109,754.0,540.0
frame_110,750.0,554.0
frame_111,741.0,576.0
frame_112,733.0,592.0
frame_113,1905.0,8.0
frame_114,1901.0,10.0
frame_115,1901.0,10.0
frame_116,780.0,493.0
frame_117,809.0,450.0
frame_118,826.0,416.0
frame_119,841.0,388.0
frame_120,850.0,370.0
frame_121,872.0,352.0
frame_122,882.0,326.0
frame_123,889.0,314.0
frame_124,898.0,298.0
frame_125,910.0,293.0
frame_126,922.0,278.0
frame_127,1906.0,8.0
frame_128,1912.0,13.0
frame_129,1912.0,13.0
frame_130,1912.0,13.0
frame_131,1912.0,13.0
frame_132,1912.0,13.0
frame_133,1912.0,13.0
frame_134,1912.0,13.0
frame_135,1912.0,13.0
frame_136,1912.0,13.0
frame_137,1912.0,13.0
frame_138,1912.0,13.0
frame_139,1912.0,13.0
frame_140,1912.0,13.0
frame_141,1912.0,13.0
frame_142,1912.0,13.0
frame_143,1912.0,13.0
frame_144,1912.0,13.0
frame_145,1912.0,13.0
frame_146,1912.0,13.0
frame_147,1912.0,13.0
frame_148,1912.0,13.0
frame_149,1912.0,13.0
frame_150,1912.0,13.0
frame_151,1912.0,13.0
frame_152,1912.0,13.0
frame_153,1912.0,13.0
frame_154,1912.0,13.0
frame_155,1912.0,13.0
frame_156,1912.0,13.0
frame_157,1912.0,13.0
frame_158,1912.0,13.0
frame_159,1912.0,13.0
frame_160,1912.0,13.0
frame_161,1912.0,13.0
frame_162,1912.0,13.0
frame_163,1912.0,13.0
frame_164,1912.0,13.0
frame_165,1912.0,13.0
frame_166,1912.0,13.0
frame_167,1912.0,13.0
frame_168,1912.0,13.0
frame_169,1912.0,13.0
frame_170,1912.0,13.0
frame_171,1912.0,13.0
frame_172,1912.0,13.0
frame_173,1912.0,13.0
frame_174,1912.0,13.0
frame_175,1912.0,13.0
frame_176,1912.0,13.0
frame_177,1912.0,13.0
frame_178,1912.0,13.0
frame_179,1912.0,13.0
frame_180,1912.0,13.0
frame_181,1912.0,13.0
frame_182,1912.0,13.0
frame_183,1912.0,13.0
frame_184,1912.0,13.0
frame_185,1912.0,13.0
frame_186,1912.0,13.0
frame_187,1912.0,13.0
frame_188,1912.0,13.0
frame_189,1912.0,13.0
frame_190,1912.0,13.0
frame_191,1912.0,13.0
frame_192,1912.0,13.0
frame_193,1912.0,13.0
frame_194,1912.0,13.0
frame_195,1912.0,13.0
frame_196,1912.0,13.0
frame_197,1912.0,13.0
frame_198,1912.0,13.0
frame_199,1912.0,13.0
frame_200,1912.0,13.0
frame_201,1912.0,13.0
frame_202,1912.0,13.0
frame_203,1912.0,13.0
frame_204,1912.0,13.0
frame_205,1912.0,13.0
frame_206,1912.0,13.0
frame_207,1912.0,13.0
frame_208,1912.0,13.0
frame_209,1912.0,13.0
frame_210,1912.0,13.0
frame_211,1912.0,13.0
frame_212,1912.0,13.0
frame_213,1912.0,13.0
frame_214,1912.0,13.0
frame_215,1912.0,13.0
frame_216,1912.0,13.0
frame_217,1912.0,13.0
frame_218,1912.0,13.0
frame_219,1912.0,13.0
frame_220,1912.0,13.0
frame_221,1912.0,13.0
frame_222,1912.0,13.0
frame_223,1912.0,13.0
frame_224,1912.0,13.0
frame_225,1912.0,13.0
frame_226,1912.0,13.0
frame_227,1912.0,13.0
frame_228,1912.0,13.0
frame_229,1912.0,13.0
frame_230,1912.0,13.0
frame_231,1912.0,13.0
frame_232,1912.0,13.0
frame_233,1912.0,13.0
frame_234,1912.0,13.0
frame_235,1912.0,13.0
frame_236,1912.0,13.0
frame_237,1912.0,13.0
frame_238,1912.0,13.0
frame_239,1912.0,13.0
frame_240,1912.0,13.0
frame_241,1912.0,13.0
frame_242,1912.0,13.0
frame_243,1912.0,13.0
frame_244,1912.0,13.0
frame_245,1912.0,13.0
frame_246,1912.0,13.0
frame_247,1912.0,13.0
frame_248,1912.0,13.0
frame_249,1912.0,13.0
frame_250,1912.0,13.0
frame_251,1912.0,13.0
frame_252,1912.0,13.0
frame_253,1912.0,13.0
frame_254,1912.0,13.0
frame_255,1912.0,13.0
frame_256,1912.0,13.0
frame_257,1912.0,13.0
frame_258,1912.0,13.0
frame_259,1912.0,13.0
frame_260,1912.0,13.0
frame_261,1912.0,13.0
frame_262,1912.0,13.0
frame_263,1912.0,13.0
frame_264,1912.0,13.0
frame_265,1912.0,13.0
frame_266,1912.0,13.0
frame_267,853.0,301.0
frame_268,846.0,305.0
frame_269,840.0,310.0
frame_270,838.0,320.0
frame_271,830.0,329.0
frame_272,828.0,334.0
frame_273,821.0,342.0
frame_274,812.0,348.0
frame_275,805.0,360.0
frame_276,801.0,370.0
frame_277,792.0,381.0
frame_278,786.0,390.0
frame_279,777.0,397.0
frame_280,773.0,406.0
frame_281,762.0,424.0
frame_282,754.0,436.0
frame_283,749.0,450.0
frame_284,741.0,466.0
frame_285,733.0,481.0
frame_286,721.0,496.0
frame_287,717.0,506.0
frame_288,709.0,532.0
frame_289,693.0,545.0
frame_290,686.0,564.0
frame_291,676.0,588.0
frame_292,669.0,610.0
frame_293,657.0,633.0
frame_294,653.0,624.0
frame_295,646.0,614.0
frame_296,633.0,606.0
frame_297,629.0,594.0
frame_298,622.0,581.0
frame_299,612.0,576.0
frame_300,602.0,566.0
frame_301,598.0,554.0
frame_302,586.0,546.0
frame_303,581.0,536.0
frame_304,564.0,517.0
frame_305,564.0,520.0
frame_306,553.0,509.0
frame_307,548.0,502.0
frame_308,533.0,492.0
frame_309,524.0,486.0
frame_310,516.0,481.0
frame_311,504.0,470.0
frame_312,497.0,460.0
frame_313,485.0,458.0
frame_314,474.0,453.0
frame_315,461.0,444.0
frame_316,452.0,440.0
frame_317,1905.0,2.0
frame_318,1905.0,12.0
frame_319,1905.0,12.0
frame_320,1905.0,12.0
frame_321,1905.0,12.0
frame_322,1905.0,12.0
frame_323,1905.0,12.0
frame_324,1905.0,12.0
frame_325,1905.0,12.0
frame_326,1905.0,12.0
frame_327,1905.0,12.0
frame_328,1905.0,12.0
frame_329,1905.0,12.0
frame_330,1905.0,12.0
frame_331,1905.0,12.0
frame_332,1905.0,12.0
frame_333,1905.0,12.0
frame_334,1905.0,12.0
frame_335,1905.0,12.0
frame_336,1905.0,12.0
frame_337,1905.0,12.0
frame_338,1905.0,12.0
frame_339,1905.0,12.0
frame_340,1905.0,12.0
frame_341,1905.0,12.0
frame_342,1905.0,12.0
frame_343,1905.0,12.0
frame_344,1905.0,12.0
frame_345,1905.0,12.0
frame_346,1905.0,12.0
frame_347,1905.0,12.0
frame_348,1905.0,12.0
frame_349,1905.0,12.0
frame_350,1905.0,12.0
frame_351,1905.0,12.0
frame_352,1905.0,12.0
frame_353,1905.0,12.0
frame_354,1905.0,12.0
frame_355,1905.0,12.0
frame_356,1905.0,12.0
frame_357,322.0,490.0
frame_358,373.0,461.0
frame_359,1910.0,10.0
frame_360,1910.0,10.0
frame_361,1910.0,10.0
frame_362,1910.0,10.0
frame_363,1910.0,10.0
frame_364,650.0,369.0
frame_365,676.0,360.0
frame_366,698.0,350.0
frame_367,722.0,342.0
frame_368,748.0,338.0
frame_369,770.0,333.0
frame_370,792.0,329.0
frame_371,808.0,328.0
frame_372,821.0,326.0
frame_373,844.0,320.0
frame_374,1906.0,8.0
frame_375,1906.0,8.0
frame_376,1906.0,8.0
frame_377,1906.0,8.0
frame_378,1906.0,8.0
frame_379,1906.0,8.0
frame_380,1906.0,8.0
frame_381,1906.0,8.0
frame_382,1906.0,8.0
frame_383,1906.0,8.0
frame_384,1906.0,8.0
frame_385,1906.0,8.0
frame_386,1906.0,8.0
frame_387,1906.0,8.0
frame_388,1906.0,8.0
frame_389,1906.0,8.0
frame_390,1906.0,8.0
frame_391,1906.0,8.0
frame_392,1906.0,8.0
frame_393,1906.0,8.0
frame_394,1906.0,8.0
frame_395,1906.0,8.0
frame_396,1906.0,8.0
frame_397,1906.0,8.0
frame_398,1906.0,8.0
frame_399,1906.0,8.0
frame_400,1906.0,8.0
frame_401,1906.0,8.0
frame_402,1906.0,8.0
frame_403,1906.0,8.0
frame_404,1906.0,8.0
frame_405,1906.0,8.0
frame_406,1906.0,8.0
frame_407,1906.0,8.0
frame_408,1906.0,8.0
frame_409,1906.0,8.0
frame_410,1906.0,8.0
frame_411,1906.0,8.0
frame_412,1906.0,8.0
frame_413,1906.0,8.0
frame_414,1906.0,8.0
frame_415,1906.0,8.0
frame_416,1906.0,8.0
frame_417,1906.0,8.0
frame_418,1906.0,8.0
frame_419,1906.0,8.0
frame_420,1906.0,8.0
frame_421,1906.0,8.0
frame_422,1906.0,8.0
frame_423,1906.0,8.0
frame_424,1906.0,8.0
frame_425,1906.0,8.0
frame_426,1906.0,8.0
frame_427,1906.0,8.0
frame_428,1906.0,8.0
frame_429,1906.0,8.0
frame_430,1906.0,8.0
frame_431,1906.0,8.0
frame_432,1906.0,8.0
frame_433,1906.0,8.0
frame_434,1906.0,8.0
frame_435,1906.0,8.0
frame_436,1906.0,8.0
frame_437,1906.0,8.0
frame_438,1906.0,8.0
frame_439,1906.0,8.0
frame_440,1906.0,8.0
frame_441,1906.0,8.0
frame_442,1906.0,8.0
frame_443,1906.0,8.0
frame_444,1906.0,8.0
frame_445,1906.0,8.0
frame_446,1906.0,8.0
frame_447,1906.0,8.0
frame_448,1906.0,8.0
frame_449,1906.0,8.0
frame_450,1906.0,8.0
frame_451,1906.0,8.0
frame_452,1906.0,8.0
frame_453,1906.0,8.0
frame_454,1906.0,8.0
frame_455,1906.0,8.0
frame_456,1906.0,8.0
frame_457,1906.0,8.0
