frame,br_x,br_y,bl_x,bl_y,tl_x,tl_y,tr_x,tr_y
frame_000,1660.0,597.0,352.0,598.0,754.0,302.0,1240.0,296.0
frame_050,1656.0,594.0,352.0,598.0,754.0,302.0,1240.0,296.0
frame_100,1656.0,594.0,350.0,597.0,754.0,302.0,1240.0,296.0
frame_150,1656.0,594.0,353.0,597.0,754.0,302.0,1240.0,296.0
frame_200,1656.0,594.0,353.0,597.0,754.0,302.0,1240.0,296.0
frame_250,1656.0,594.0,353.0,597.0,754.0,302.0,1240.0,296.0
frame_300,1656.0,594.0,353.0,597.0,754.0,302.0,1240.0,296.0
frame_350,1656.0,594.0,353.0,597.0,754.0,302.0,1240.0,296.0
frame_400,1656.0,594.0,353.0,597.0,754.0,302.0,1240.0,296.0
frame_450,1656.0,594.0,353.0,597.0,754.0,302.0,1240.0,296.0
frame_500,1656.0,594.0,353.0,597.0,754.0,302.0,1240.0,296.0
